address,verdict,realized_pnl,unrealized_pnl,avg_hold,rug_pct,multi_x_wins,reason,date_vetted
4qvhbPxpEn1dsfxMB6zJ219mDx9pn5wvijn8cUmGGmKd,REJECT,+$681.61K,-$1.81M,25d,99.76%,"48 (>500%), 30 (>100%)",Bag-holder: unrealized -$1.81M exceeds realized +$682K (net -$1.12M); 25d holds exceed swing threshold,2026-06-22
CFjaQynJqKm6zysB3c7PcVoXdERZToVMwz3RwACVr4YQ,KEEP,+$101.31K,-$3.76K,18d,60%,"1 (>500%), 2 (>100%)","Banked +$101K realized, tiny unrealized -$4K (net +$98K, fully banked); 18d holds (borderline upper edge); 3 multi-x wins; net seller",2026-06-22
Cp7qVkC1kyHzgxr5XAnr773azXJL6mWLtPbdVQeLosLW,REJECT,+$1.95M,-$13.98M,2mo,99.97%,"7 (>500%), 70 (>100%)",Deep bag-holder: unrealized -$13.98M dwarfs realized +$1.95M (net -$12.03M); 2mo holds exceed swing threshold,2026-06-22
4QWmGTxuJVVApdiSZ36eALdP1NnEGZyb7SVHhsgubyLm,REJECT,$0,$0,0,100%,0,"Distribution/receiver wallet: 0/1.09K txns (100% didnt buy, all sells); $0 realized; not a trader",2026-06-22
kCmZEAomWGZU1DH8Y255sHa1xDptpck17jde9dycjS9,KEEP,+$349.12K,+$149.62K,3d,98.85%,"20 (>500%), 21 (>100%)",Banked +$349K realized; positive +$150K unrealized (net +$499K); 3d holds (ideal); 41 multi-x wins; net seller; high rug% confirmatory; fast-exit sniper,2026-06-22
AV7PjXHL5JXZ1YoYRoN9Dsstg1x2UciBupMCXcJP8gUz,KEEP,+$1.56M,-$3.41K,1h,99.56%,"35 (>500%), 769 (>100%)","Textbook sniper: banked +$1.56M realized, ~flat unrealized (fully banked); 1h holds (ideal); ~804 multi-x wins; 99% instant-sell; high rug% confirmatory",2026-06-22
J7QLJ6w63AKX1CyhoR5RT1fNQRATuoFjEEtWHh7CDGoS,REJECT,$0,+$338.86K,21d,33.33%,0,Never-sell accumulator: $0 realized (all $339K unbanked paper); 170 buys/0 sells; 21d holds; not banking profits,2026-06-22
JD6rVaerbyz6wjQ433nrw6bFTgFrp46MiYmi8EtUAfsG,KEEP,+$229.92K,+$1.21M,18h,79.39%,"6.39K (>500%), 2.84K (>100%)",Banked +$230K realized + positive +$1.21M unrealized (net +$1.44M); 18h holds; ~9.2K multi-x wins; 94% win rate; large-scale fast-exit sniper (77% instant-sell); high rug% confirmatory,2026-06-22
5uSNZfK1eLk9j6gR9jhYcfbHd4XtpgHnZP79fVMUcKQH,REJECT,+$12.29K,+$67.46K,2mo,25.15%,10 (>100%),Long-hold: 2mo avg hold exceeds swing threshold; modest realized +$12K; 15% win rate; wrong style for fast-exit bot,2026-06-22
D9McCnTK1xZLhzbfcBiuUGEDYXky8jGc1sKs3ZZTyzNB,REJECT,$0,-$105.62,3mo,100%,0,"Never-sell dust accumulator: 1.57K buys/0 sells, $0 realized, $0.09 avg cost; not a profitable trader",2026-06-22
HR7Exa4JkixLC9VWyEok38EXdBHbVPgvkUsw5UVSpVr5,REJECT,$0,-$107.38,3mo,100%,0,"Never-sell dust accumulator: 1.56K buys/0 sells, $0 realized, $0.09 avg cost; not a profitable trader",2026-06-22
DF2rjixcQZJwJSrmjVnC1qHLFoPhMqspiTX7ckNbe13V,REJECT,$0,-$104.65,3mo,100%,0,"Never-sell dust accumulator: 1.56K buys/0 sells, $0 realized, $0.09 avg cost; not a profitable trader",2026-06-22
9Wdsvm7miVX77WmntQN4aaAZ2G2BYDwWLMN7YZBVy9Us,REJECT,-$9.17M,-$865.85K,5d,100%,0,Massively negative realized -$9.17M (net -$10.03M); 0 multi-x wins; 87% of tokens at deep loss,2026-06-22
4tAREHxMu6ncQV9UQ3GhFZ4boFb6xa5wrkGjvapPMMYk,REJECT,-$0.34,-$36.14,17d,99.69%,0,"Dust/test accumulator: $37 volume, 332 buys/4 sells, ~$0 realized; not a meaningful trader",2026-06-22
E88emNBZpPxX3LGRdiHaDSobpBiRezRdgwG2TKdMcqf9,REJECT,-$0.37,-$38.17,17d,99.7%,0,"Dust/test accumulator: $39 volume, 338 buys/5 sells, ~$0 realized; not a meaningful trader",2026-06-22
GHNnupvah56aMEBq7m2KLzMfYkyjkPDp2Qe8uVLwJMiR,REJECT,-$0.20,-$36.18,18d,100%,0,"Dust/test accumulator: $36 volume, 320 buys/2 sells, ~$0 realized; not a meaningful trader",2026-06-22
HPGSoaK4WHuMNym7TpLqozRHkA6fRg3qGMDtqVsndL7h,REJECT,+$61.78K,-$106.23K,3d,97.5%,"3 (>500%), 6 (>100%)",Bag-holder: unrealized -$106K exceeds realized +$62K (net -$44K); 3d holds but net negative,2026-06-22
